species_code,species_name,sci_name,length,fisher_num,fisher_name,photo_num,photo_ID_Kat,notes
BOCO,Bocaccio,Sebastes paucispinus,18,1,,125,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,13.5,1,,126,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,14.5,1,,127,VERM,
BOCO,Bocaccio,Sebastes paucispinus,20,1,,128,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,1,,129,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,1,,130,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,11,1,,131,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,1,,132,VERM,
BOCO,Bocaccio,Sebastes paucispinus,11.5,1,,133,BOCO,Originally identified as a vermillion. Photo suggests bocaccio.
VERM,Vermilion rockfish,Sebastes miniatus,10,1,,134,VERM,
CHIL,Chilipepper rockfish,Sebastes goodei,8.5,1,,135,CHIL,Originally identified as a copper. Photo suggests chilipepper. 
BOCO,Bocaccio,Sebastes paucispinus,22,2,,136,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,12,2,,137,VERM,
COPP,Copper rockfish,Sebastes caurinus,13.5,2,,138,COPP,
COPP,Copper rockfish,Sebastes caurinus,15,2,,139,COPP,
COPP,Copper rockfish,Sebastes caurinus,15,2,,140,COPP,
VERM,Vermilion rockfish,Sebastes miniatus,13.5,2,,141,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,11.5,2,,142,VERM,
CHIL,Chilipepper rockfish,Sebastes goodei,11.5,2,,143,CHIL,Originally identified as a vermillion. Photo suggests chillipepper.
FLAG,Flag rockfish,Sebastes rubrivinctus,9.5,2,,144,FLAG,
CHIL,Chilipepper rockfish,Sebastes goodei,10,2,,145,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,16.5,3,,146,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,11.5,3,,147,VERM,
BOCO,Bocaccio,Sebastes paucispinus,15.5,3,,148,BOCO,Originally identified as a chilipepper. Photo suggests Bocaccio.
VERM,Vermilion rockfish,Sebastes miniatus,13,3,,149,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,13.5,3,,150,VERM,"Check this one. Could be a copper, vermillion, or bosco."
VERM,Vermilion rockfish,Sebastes miniatus,11,3,,151,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,13,3,,152,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,11,3,,153,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10,3,,154,VERM,
BOCO,Bocaccio,Sebastes paucispinus,12,3,,155,BOCO,Originally identified as a vermillion. Photo suggests bocaccio.
CHIL,Chilipepper rockfish,Sebastes goodei,11.5,3,,156,CHIL,
CHIL,Chilipepper rockfish,Sebastes goodei,10,3,,157,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,17,4,,158 - 159,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,12,4,,160,VERM,
FLAG,Flag rockfish,Sebastes rubrivinctus,12,4,,161,FLAG,Check this one. Originally identified as flag but might just be a blotchy vermillion
BOCO,Bocaccio,Sebastes paucispinus,15,4,,162,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,13,4,,163,VERM,
BOCO,Bocaccio,Sebastes paucispinus,18,4,,164,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,15,4,,165,VERM,Check this one. Could be a bosco
VERM,Vermilion rockfish,Sebastes miniatus,11.5,4,,166,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,4,,167,VERM,
FLAG,Flag rockfish,Sebastes rubrivinctus,9,4,,168,FLAG,
BOCO,Bocaccio,Sebastes paucispinus,22.5,5,,169,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,11.5,5,,170,VERM,Could be a bosco or rosy.
VERM,Vermilion rockfish,Sebastes miniatus,15.5,5,,171,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,13,5,,172,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,5,,173,VERM,"Not a copper. Likely a vermilion, rosy, or bosco"
VERM,Vermilion rockfish,Sebastes miniatus,15,5,,174,VERM,
WIDO,Widow rockfish,Sebastes entomelas,13,5,,175,WIDO,Originally identified as a squarespot. Photo suggests widow.
VERM,Vermilion rockfish,Sebastes miniatus,11,5,,176,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,11.5,5,,177,VERM,"Not a copper. Likely a vermilion, rosy, or bosco"
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,5,,178,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,21,6,,179,VERM,
BOCO,Bocaccio,Sebastes paucispinus,15.5,6,,180,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,14.5,6,,181,VERM,
STAR,Starry rockfish,Sebastes constellatus,12,6,,182,STAR,Originally identified as a copper. Photo suggests starry.
VERM,Vermilion rockfish,Sebastes miniatus,11.5,6,,183,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,13,6,,184,VERM,
BOCO,Bocaccio,Sebastes paucispinus,14.5,6,,185,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,14,6,,186,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,11.5,6,,187,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,12,6,,188,VERM,Originally identified as a copper. Photo suggests rosy or blotchy vermilion (from tail color)
COPP,Copper rockfish,Sebastes caurinus,11.5,6,,189,COPP,
BOCO,Bocaccio,Sebastes paucispinus,17,7,,190,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,15.5,7,,191,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,19,7,,192,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,18.5,7,,193,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,15.5,7,,194,VERM,
BOCO,Bocaccio,Sebastes paucispinus,15,7,,195,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,15,7,,196,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,7,,197,VERM,
ROSY,Rosy rockfish,Sebastes rosaceus,10,7,,198,ROSY,Originally identified as a copper. Photo suggests rosy.
COPP,Copper rockfish,Sebastes caurinus,10,7,,199,COPP,Photo unclear but likely a copper.
CHIL,Chilipepper rockfish,Sebastes goodei,11.5,7,,200,CHIL,Originally identified as a vermillion. Photo suggests chillipepper.
VERM,Vermilion rockfish,Sebastes miniatus,15.5,8,,201,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,13,8,,202,VERM,
BOCO,Bocaccio,Sebastes paucispinus,19,8,,203,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,17,8,,204,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,12,8,,205,BOCO,Originally identified as a chilipepper. Photo suggests Bocaccio.
BOCO,Bocaccio,Sebastes paucispinus,14.5,8,,206,BOCO,
WIDO,Widow rockfish,Sebastes entomelas,12,8,,207,WIDO,Originally identified as a squarespot. Photo suggests widow.
BOCO,Bocaccio,Sebastes paucispinus,10.5,8,,208,BOCO,Originally identified as a vermillion. Photo suggests bocaccio.
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,8,,209,CHIL,Originally identified as a vermillion. Photo suggests chillipepper.
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,8,,210,CHIL,Check this one. Could be a bocaccio
BOCO,Bocaccio,Sebastes paucispinus,19,9,,211,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,12.5,9,,212,VERM,
BOCO,Bocaccio,Sebastes paucispinus,17,9,,213,BOCO,
WIDO,Widow rockfish,Sebastes entomelas,13,9,,214,WIDO,
VERM,Vermilion rockfish,Sebastes miniatus,14.5,9,,215,VERM,Originally identified as a bocaccio. Photo suggests vermilion.
STAR,Starry rockfish,Sebastes constellatus,11.5,9,,216,STAR,Originally identified as Canary. Photo proves starry.
VERM,Vermilion rockfish,Sebastes miniatus,11.5,9,,217,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,12,9,,218,VERM,
WIDO,Widow rockfish,Sebastes entomelas,11.5,9,,219,WIDO,Originally identified as a squarespot. Photo suggests widow.
VERM,Vermilion rockfish,Sebastes miniatus,11.5,9,,220,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,14,10,,221,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,15,10,,222,VERM,
BOCO,Bocaccio,Sebastes paucispinus,17.5,10,,223,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,15.5,10,,224,VERM,
BOCO,Bocaccio,Sebastes paucispinus,16.5,10,,225,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,12,10,,226,BOCO,
ROSY,Rosy rockfish,Sebastes rosaceus,12,10,,227,ROSY,Originally identified as Canary. Photo suggests Rosy
VERM,Vermilion rockfish,Sebastes miniatus,10,10,,228,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10,10,,229,VERM,
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,10,,230,CHIL,Originally identified as a vermillion. Photo suggests chillipepper.
CHIL,Chilipepper rockfish,Sebastes goodei,10,10,,231,CHIL,Originally identified as a vermillion. Photo suggests chillipepper.
SAND,Pacific sanddab,Citharichthys sordidus,11,10,,233,SAND,
LING,Lingcod,Ophiodon elongatus,30.5,11,,234 - 235,LING,
VERM,Vermilion rockfish,Sebastes miniatus,17.5,11,,236,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,16,11,,237,VERM,
COPP,Copper rockfish,Sebastes caurinus,20,11,,238,COPP,
BOCO,Bocaccio,Sebastes paucispinus,16,11,,239,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,12.5,11,,240,VERM,
BOCO,Bocaccio,Sebastes paucispinus,15,11,,241,BOCO,Originally identified as a chilipepper. Photo suggests Bocaccio.
CHIL,Chilipepper rockfish,Sebastes goodei,11,11,,242,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,11,11,,243,VERM,
BLUE,Blue rockfish,Sebastes mystinus,11,11,,244,BLUE,
VERM,Vermilion rockfish,Sebastes miniatus,14.5,12,,245,VERM,
BOCO,Bocaccio,Sebastes paucispinus,18,12,,246,BOCO,
WIDO,Widow rockfish,Sebastes entomelas,13,12,,247,WIDO,
WIDO,Widow rockfish,Sebastes entomelas,13,12,,248,WIDO,
WIDO,Widow rockfish,Sebastes entomelas,12.5,12,,249,WIDO,
WIDO,Widow rockfish,Sebastes entomelas,13,12,,250,WIDO,
VERM,Vermilion rockfish,Sebastes miniatus,10,12,,251,VERM,
CHIL,Chilipepper rockfish,Sebastes goodei,9.5,12,,252,CHIL,Originally identified as a vermillion. Photo suggests chillipepper.
VERM,Vermilion rockfish,Sebastes miniatus,12,12,,253,VERM,
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,12,,254,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,13,13,,255,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10,13,,256,VERM,
WIDO,Widow rockfish,Sebastes entomelas,12,13,,257,WIDO,
VERM,Vermilion rockfish,Sebastes miniatus,12,13,,258,VERM,
